"S.","Title","Location","Date","Area","Incident.Area","Open.Close.Location","Target","Cause","Summary","Shooter.status","No..of.shooter.suspect","Fatalities","Injured","Total.victims","Policeman.Killed","Age","Employeed..Y.N.","Employed.at","Mental.Health.Issues","Race","Gender","Latitude","Longitude","Month","Year","Day","MJ.Summary","Prior.MH","MH.Details","Legal.Weapons","Obtained.Where","Weapon.Type","Weapon.Details","Main.Source","MH.Source","Extra.Source","Shooting.Type","State"
1,"Las Vegas Strip mass shooting","Las Vegas, NV","10/01/17","Public area","Las Vegas Strip Concert outside Mandala Bay","Open","random","Unknown","Stephen Craig Paddock, opened fire from the 32nd floor of Manadalay Bay hotel at Last Vegas concert goers for no obvious reason. He shot himself and died on arrival of law enforcement agents. He was 64","committed suicide","one",58,527,585,1,"64",-999,"-999","-999","White, White American or European American","Male",36.181271,-115.134132,10,2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nevada"
2,"Orlando nightclub massacre","Orlando, Florida","06/12/16","Bar, Club","at nightclub","Close","random","Unknown","Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.","killed","one",49,53,102,0,"29",-999,"-999","-999","Other","Male",28.519718,-81.376777,6,2016,12,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.","Unclear","Unclear","Yes","Shooting center in Port St. Lucie, Florida","Semiautomatic rifle, semiautomatic handgun","Sig Sauer MCX rifle, Glock 17 9mm; high-capacity magazines (30 rounds)","http://www.motherjones.com/politics/2016/06/assault-rifle-used-by-orlando-mass-shooter; http://wrbl.com/2016/06/13/orlando-police-make-statement-on-mass-shooting/; http://www.slate.com/articles/news_and_politics/crime/2016/06/the_ar_15_and_other_assault_rifles_are_bad_high_capacity_magazines_are_worse.html","-","http://www.motherjones.com/politics/2016/06/assault-rifle-used-by-orlando-mass-shooter; http://wrbl.com/2016/06/13/orlando-police-make-statement-on-mass-shooting/; http://www.slate.com/articles/news_and_politics/crime/2016/06/the_ar_15_and_other_assault_rifles_are_bad_high_capacity_magazines_are_worse.html","Mass","Florida"
3,"Virginia Tech massacre","Blacksburg, Virginia","04/16/07","School","School Campus","Close","random","Terrorism","Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.","committed suicide","one",32,23,55,0,"23",-999,"-999","Yes","Asian or Asian American","Male",37.2295733,-80.4139393,4,2007,16,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.","Yes","A district court ruled Cho was ""an imminent danger"" to himself and others as a result of mental illness two years earlier, and directed Cho to seek treatment. ","Yes","Purchased variously online and from Roanoke Firearms in Roanoke, Va.","Two semiautomatic handguns","9mm Glock 19, .22-caliber Walther P22 semiautomatic handguns","http://www.nytimes.com/2007/04/24/us/24virginia.html; http://www.thestandard.com.hk/news_detail.asp?we_cat=9&art_id=42489&sid=13196711&con_type=1&d_str=20070419&fc=10; http://smartgunlaws.org/mental-health-reporting-policy-summary/","http://abcnews.go.com/US/story?id=3052278&page=1","http://www.nytimes.com/2007/04/24/us/24virginia.html; http://www.thestandard.com.hk/news_detail.asp?we_cat=9&art_id=42489&sid=13196711&con_type=1&d_str=20070419&fc=10; http://smartgunlaws.org/mental-health-reporting-policy-summary/","Mass","Virginia"
4,"Sandy Hook Elementary massacre","Newtown, Connecticut","12/14/12","School","School","Open+Close","Family+students","Terrorism","Adam Lanza, 20, shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children and six adults before committing suicide. Court documents showed that the school shooting had occurred in the space of less than five munities with 156 shots fired. / Adam Lanza, 20, shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children and six adults before committing suicide","committed suicide","one",27,2,29,-999,"20",-999,"-999","Yes","White, White American or European American","Male",41.4123225,-73.31142358,12,2012,14,"Adam Lanza, 20, shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children and six adults before committing suicide.","Yes","Lanza had a history of serious mental health problems that were known to his family and others, as detailed in a post-massacre investigation by Connecticut authorities.","No","Stolen from mother","Two semiautomatic handguns, one rifle (assault), one shotgun (assault)","10mm Glock, 9mm SIG Sauer P226 semiautomatic handguns; .223 Bushmaster XM15-E2S semiautomatic rifle; Izhmash Saiga-12 12-gauge semiautomatic shotgun","http://usnews.nbcnews.com/_news/2012/12/14/15911025-authorities-id-gunman-who-killed-27-in-elementary-school-massacre?lite; http://articles.washingtonpost.com/2012-12-14/local/35846977_1_law-enforcement-lanza-brothers-kid","http://usnews.nbcnews.com/_news/2012/12/14/15911025-authorities-id-gunman-who-killed-27-in-elementary-school-massacre?lite; http://articles.washingtonpost.com/2012-12-14/local/35846977_1_law-enforcement-lanza-brothers-kid","http://usnews.nbcnews.com/_news/2012/12/14/15911025-authorities-id-gunman-who-killed-27-in-elementary-school-massacre?lite; http://articles.washingtonpost.com/2012-12-14/local/35846977_1_law-enforcement-lanza-brothers-kid","Mass","Connecticut"
5,"Texas First Baptist Church massacre","Sutherland Springs, Texas","11/05/17","Church","Religious","Close","random","Unknown","Devin Patrick Kelley, a 26-year-old ex-US Air Force airman, opened fire at the First Baptist Church in Sutherland Springs during Sunday morning services, killing at least 26 people and wounding and injuring 20 others. He left the church and fled in his vehicle after engaging in a gunfight with a local citizen; he soon crashed his vehicle and died from a self-inflicted gunshot wound.","committed suicide","one",26,20,46,-999,"26",-999,"-999","Yes","White, White American or European American","Male",29.273282,-98.056488,11,2017,5,"Devin Patrick Kelley, a 26-year-old ex-US Air Force airman, opened fire at the First Baptist Church in Sutherland Springs during Sunday morning services, killing at least 26 people and wounding and injuring 20 others. He left the church and fled in his vehicle after engaging in a gunfight with a local citizen; he soon crashed his vehicle and died from a self-inflicted gunshot wound.","Yes","Kelley had a history of domestic violence, including a court martial and conviction stemming from assaulting his wife and child; he also had a history of cruelty to animals and of stalking and harassing ex-girlfriends, including an underage girl. He reportedly briefly escaped from a mental health facility in 2012.","Kelley passed federal criminal background checks; the US Air Force failed to provide information on his criminal history to the FBI","Purchased in April 2016 from an Academy Sports & Outdoors store in San Antonio","semiautomatic rifle","Ruger AR-556; Kelley also possessed semiautomatic handguns","https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/who-is-devin-patrick-kelley-gunman-who-officials-say-killed-churchgoers-in-sutherland-springs/; https://www.washingtonpost.com/news/post-nation/wp/2017/11/06/investigators-hunt-for-motive-in-texas-church-shooting-as-the-grieving-spans-generations/; https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/an-unlikely-hero-describes-gun-battle-and-95-mph-chase-with-texas-shooting-suspect/; http://www.cnn.com/2017/11/06/us/texas-church-shooting/index.html; https://www.usnews.com/news/top-news/articles/2017-11-06/church-shooter-killed-himself-after-vehicle-chase-sheriff-tells-cbs","http://www.expressnews.com/news/local/article/Suspected-gunman-Devin-Patrick-Kelley-lived-near-12334186.php; http://www.denverpost.com/2017/11/06/texas-shooting-devin-patrick-kelley-colorado-arrest/; https://www.nbcnews.com/storyline/texas-church-shooting/who-devin-kelley-alleged-texas-church-shooter-n817806; https://www.click2houston.com/news/sutherland-springs-church-shooter-escaped-mental-health-facility-months-after-attack-on-wife-child","https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/who-is-devin-patrick-kelley-gunman-who-officials-say-killed-churchgoers-in-sutherland-springs/; https://www.washingtonpost.com/news/post-nation/wp/2017/11/06/investigators-hunt-for-motive-in-texas-church-shooting-as-the-grieving-spans-generations/; https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/an-unlikely-hero-describes-gun-battle-and-95-mph-chase-with-texas-shooting-suspect/; http://www.cnn.com/2017/11/06/us/texas-church-shooting/index.html; https://www.usnews.com/news/top-news/articles/2017-11-06/church-shooter-killed-himself-after-vehicle-chase-sheriff-tells-cbs","Mass","Texas"
6,"Luby's Cafeteria in Killeen, Texas","Killeen, Texas","10/16/91","Public area","Luby's Cafeteria","Open","random","Unemployement","On October 16, 1991, a 35-year old unemployed seaman drove his truck through a window at Luby's Cafeteria in Killeen, Texas. He then opened fire, killing twenty-three people and wounding twenty before turning the gun on himself.","committed suicide","one",23,20,43,0,"35",0,"-999","Yes","White, White American or European American","Male",31.07925506,-97.73392317,10,1991,16,"George Hennard, 35, drove his pickup truck into a Luby's cafeteria and opened fire before committing suicide.","No","Acquaintances described him as troubled, unstable, combative, and misogynistic. He made convenience store employees ""nervous.""","Yes","Mike's Gun Shop in Henderson, Nev.","Two semiautomatic handguns","9mm Glock 17, 9mm Ruger P89 semiautomatic handguns","http://www.nytimes.com/1991/10/18/us/portrait-of-texas-killer-impatient-and-troubled.html?pagewanted=all&src=pm; http://www.kwtx.com/home/headlines/7048182.html; http://www.nytimes.com/1991/10/20/weekinreview/dead-23-texans-and-1-anti-gun-measure.html; http://www.vpc.org/studies/wgun911016.htm","http://www.nytimes.com/1991/10/20/weekinreview/dead-23-texans-and-1-anti-gun-measure.html; http://www.nytimes.com/1991/10/18/us/portrait-of-texas-killer-impatient-and-troubled.html?pagewanted=all&src=pm","http://www.nytimes.com/1991/10/18/us/portrait-of-texas-killer-impatient-and-troubled.html?pagewanted=all&src=pm; http://www.kwtx.com/home/headlines/7048182.html; http://www.nytimes.com/1991/10/20/weekinreview/dead-23-texans-and-1-anti-gun-measure.html; http://www.vpc.org/studies/wgun911016.htm","Mass","Texas"
7,"El Paso Walmart mass shooting","El Paso, Texas","08/03/19","Workplace","Workplace","-999","-999","Unknown","Patrick Crusius, 21, who was apprehended by police, posted a so-called manifesto online shortly before the attack espousing ideas of violent white nationalism and hatred of immigrants. ""This attack is a response to the Hispanic invasion of Texas,"" he allegedly wrote in the document.","arrested","one",22,26,48,-999,"21",-999,"-999","-999","White, White American or European American","Male",31.771068,-106.375655,8,2019,3,"Patrick Crusius, 21, who was apprehended by police, posted a so-called manifesto online shortly before the attack espousing ideas of violent white nationalism and hatred of immigrants. ""This attack is a response to the Hispanic invasion of Texas,"" he allegedly wrote in the document.","-","-","Yes","-","semiautomatic rifle","AK-47-style rifle, per authorities","https://www.washingtonpost.com/nation/2019/08/04/investigators-search-answers-after-gunman-kills-el-paso/; https://www.nytimes.com/2019/08/04/us/mass-shootings-dayton-el-paso.html; https://www.apnews.com/5fb2144947974631912d1efa889f932b","-","-","Mass","Texas"
8,"McDonald's restaurant in San Ysidro","San Ysidro, California","07/18/84","Restaurant","McDonald's restaurant in San Ysidro","Close","random","Psycho","On July 18, 1984, a 41-year-old unemployed man, walked into a McDonald's restaurant in San Ysidro, California, killing twenty-one people and injuring nineteen others. The shooter was killed at the scene by a SWAT team sniper perched on the roof next door.","killed","one",21,19,40,0,"41",0,"-999","Yes","White, White American or European American","Male",32.555556,-117.047656,7,1984,18,"James Oliver Huberty, 41, opened fire in a McDonald's restaurant before he was shot dead by a police officer.","Yes","The day before the shooting, he tried to make an appointment at a mental health clinic. ","Yes","Unknown","One semiautomatic handgun, one rifle (assault), one shotgun","9mm Browning P35 Hi-Power semiautomatic handgun; 9mm Israeli Military Industries Uzi Model A carbine semiautomatic rifle; 12-gauge Winchester 1200 pump-action shotgun","http://www.utsandiego.com/san-ysidro-massacre/; http://www.vpc.org/studies/wgun840718.htm","http://www.nctimes.com/news/local/article_2ba4343e-7009-54ce-98df-79a23ff8d0d7.html","http://www.utsandiego.com/san-ysidro-massacre/; http://www.vpc.org/studies/wgun840718.htm","Mass","California"
9,"Marjory Stoneman Douglas High School shooting","Parkland, Florida","02/14/18","School","School","-999","-999","Unknown","Nikolas J. Cruz, 19, heavily armed with an AR-15, tactical gear, and â€œcountless magazinesâ€ of ammo, according to the Broward County Sheriff, attacked the high school as classes were ending for the day, killing at least 17 people and injuring many others. He was apprehended by authorities shortly after fleeing the campus.","arrested","one",17,17,34,-999,"19",-999,"-999","Yes","White, White American or European American","Male",26.30483,-80.269511,2,2018,14,"Nikolas J. Cruz, 19, heavily armed with an AR-15, tactical gear, and “countless magazines” of ammo, according to the Broward County Sheriff, attacked the high school as classes were ending for the day, killing at least 17 people and injuring many others. He was apprehended by authorities shortly after fleeing the campus.","Yes","Cruz had a long history of behavioral problems and had spent time in mental health clinics.","Yes","A Florida pawn shop","semiautomatic rifle","AR-15","https://www.nytimes.com/2018/02/14/us/parkland-school-shooting.html; https://www.nytimes.com/2018/02/15/us/nikolas-cruz-florida-shooting.html; https://www.washingtonpost.com/news/local/wp/2019/01/25/feature/brother-parkland-shooter-nikolas-cruz/?utm_term=.1cc1aa9bb21a","https://www.nytimes.com/2018/02/15/us/nikolas-cruz-florida-shooting.html","https://www.nytimes.com/2018/02/14/us/parkland-school-shooting.html; https://www.nytimes.com/2018/02/15/us/nikolas-cruz-florida-shooting.html","Mass","Florida"
10,"University of Texas at Austin","Austin, Texas","08/01/66","School","University of Texas","Close","random","Terrorism","On August 1, 1966, a 25-year-old engineering student at the University of Texas in Austin killed sixteen people and wounded thirty-two others in and around the Tower of the University of Texas. Prior to commencing the mass shootings at the University, the student and former U.S. Marine, had murdered both his wife and mother in Austin, Texas.","-999","one",16,32,48,0,"25",-999,"-999","Yes","White, White American or European American","Male",30.1988873,-97.84415949,8,1966,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Texas"
