Year,Type,1,2,3,4
1979,background check,,"California
Hawaii
Illinois
Massachusetts
Maryland
Michigan
Minnesota
New Jersey
New York
Rhode Island
Tennessee
Washington","Hawaii
Massachusetts
Michigan
Missouri
New Jersey
Rhode Island
Tennessee","Hawaii
Illinois
Massachusetts
Michigan
Missouri
New Jersey
New York
Rhode Island"
1979,concealed weapon,Vermont,"Alabama
Connecticut
New Hampshire
Washington","California
Colorado
District of Columbia
Delaware
Florida
Georgia
Hawaii
Iowa
Idaho
Indiana
Louisiana
Massachusetts
Maryland
Maine
Michigan
Minnesota
Montana
New Jersey
Nevada
New York
Oregon
Pennsylvania
Rhode Island
South Carolina
South Dakota
Utah
West Virginia
Wyoming","Alaska
Arkansas
Arizona
Illinois
Kansas
Kentucky
Missouri
Mississippi
North Carolina
North Dakota
Nebraska
New Mexico
Ohio
Oklahoma
Tennessee
Texas
Virginia
Wisconsin"
1979,self defense,"Alaska
Alabama
Arkansas
Arizona
California
Colorado
District of Columbia
Florida
Georgia
Idaho
Illinois
Indiana
Kansas
Kentucky
Massachusetts
Maryland
Maine
Michigan
Minnesota
Missouri
Mississippi
North Carolina
New Hampshire
New Jersey
New Mexico
Nevada
New York
Ohio
Oklahoma
Oregon
Rhode Island
South Carolina
South Dakota
Tennessee
Texas
Utah
Virginia
Vermont
Washington
Wisconsin
West Virginia
Wyoming
","Connecticut
Delaware
Hawaii
Iowa
North Dakota
Nebraska
Pennsylvania","Louisiana
Montana",
1979,child access,,District of Columbia,,
1980,background check,,"California
Hawaii
Illinois
Massachusetts
Maryland
Michigan
Minnesota
New Jersey
New York
Rhode Island
Tennessee
Washington","Hawaii
Massachusetts
Michigan
Missouri
New Jersey
Rhode Island
Tennessee","Hawaii
Illinois
Massachusetts
Michigan
Missouri
New Jersey
New York
Rhode Island"
1980,concealed weapon,Vermont,"Alabama
Connecticut
Indiana
New Hampshire
Washington","California
Colorado
District of Columbia
Delaware
Florida
Georgia
Hawaii
Iowa
Idaho
Indiana
Louisiana
Massachusetts
Maryland
Maine
Michigan
Minnesota
Montana
New Jersey
Nevada
New York
Oregon
Pennsylvania
Rhode Island
South Carolina
South Dakota
Utah
West Virginia
Wyoming","Alaska
Arkansas
Arizona
Illinois
Kansas
Kentucky
Missouri
Mississippi
North Carolina
North Dakota
Nebraska
New Mexico
Ohio
Oklahoma
Tennessee
Texas
Virginia
Wisconsin"
1980,self defense,"Alaska
Alabama
Arkansas
Arizona
California
Colorado
District of Columbia
Florida
Georgia
Idaho
Illinois
Indiana
Kansas
Kentucky
Massachusetts
Maryland
Maine
Michigan
Minnesota
Missouri
Mississippi
North Carolina
New Hampshire
New Jersey
New Mexico
Nevada
New York
Ohio
Oklahoma
Oregon
Rhode Island
South Carolina
South Dakota
Tennessee
Texas
Utah
Virginia
Vermont
Washington
Wisconsin
West Virginia
Wyoming
","Connecticut
Delaware
Hawaii
Iowa
North Dakota
Nebraska
Pennsylvania","Louisiana
Montana",
1980,child access,,District of Columbia,,
1981,background check,,"California
Hawaii
Illinois
Massachusetts
Maryland
Michigan
Minnesota
Missouri
New Jersey
New York
Rhode Island
Tennessee
Washingto","Hawaii
Massachusetts
Michigan
Missouri
New Jersey
Rhode Island
Tennessee","Hawaii
Illinois
Massachusetts
Michigan
Missouri
New Jersey
New York
Rhode Island"
1981,concealed weapon,Vermont,"Alabama
Connecticut
Indiana
New Hampshire
Washington","California
Colorado
District of Columbia
Delaware
Florida
Georgia
Hawaii
Iowa
Idaho
Louisiana
Massachusetts
Maryland
Maine
Michigan
Minnesota
Montana
New Jersey
Nevada
New York
Oregon
Pennsylvania
Rhode Island
South Carolina
South Dakota
Utah
West Virginia
Wyoming
","Alaska
Arkansas
Arizona
Illinois
Kansas
Kentucky
Missouri
Mississippi
North Carolina
North Dakota
Nebraska
New Mexico
Ohio
Oklahoma
Tennessee
Texas
Virginia
Wisconsin"
