S#,Title,Location,Date,Area,Incident Area,Open/Close Location,Target,Cause,Summary,Shooter status,No. of shooter/suspect,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
1,Las Vegas Strip mass shooting,"Las Vegas, NV",10/01/17,Public area,Las Vegas Strip Concert outside Mandala Bay,Open,random,-999,"Stephen Craig Paddock, opened fire from the 32nd floor of Manadalay Bay hotel at Last Vegas concert goers for no obvious reason. He shot himself and died on arrival of law enforcement agents. He was 64",committed suicide,one,58,527,585,1,64,-999,-999,-999,"White, White American or European American",Male,36.181271,-115.134132
2,Orlando nightclub massacre,"Orlando, Florida",06/12/16,"Bar, Club",at nightclub,Close,random,-999,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",killed,one,49,53,102,0,29,-999,-999,-999,Other,Male,28.519718,-81.376777
3,Virginia Tech massacre,"Blacksburg, Virginia",04/16/07,School,School Campus,Close,random,terrorism,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.",committed suicide,one,32,23,55,0,23,-999,-999,Yes,Asian or Asian American,Male,37.2295733,-80.4139393
4,Sandy Hook Elementary massacre,"Newtown, Connecticut",12/14/12,School,School,Open+Close,Family+students,terrorism,"Adam Lanza, 20, shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children and six adults before committing suicide. Court documents showed that the school shooting had occurred in the space of less than five munities with 156 shots fired. / Adam Lanza, 20, shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children and six adults before committing suicide",committed suicide,one,27,2,29,-999,20,-999,-999,Yes,"White, White American or European American",Male,41.4123225,-73.31142358
5,Texas First Baptist Church massacre,"Sutherland Springs, Texas",11/05/17,Church,Religious,Close,random,-999,"Devin Patrick Kelley, a 26-year-old ex-US Air Force airman, opened fire at the First Baptist Church in Sutherland Springs during Sunday morning services, killing at least 26 people and wounding and injuring 20 others. He left the church and fled in his vehicle after engaging in a gunfight with a local citizen; he soon crashed his vehicle and died from a self-inflicted gunshot wound.",committed suicide,one,26,20,46,-999,26,-999,-999,Yes,"White, White American or European American",Male,29.273282,-98.056488
6,"Luby's Cafeteria in Killeen, Texas","Killeen, Texas",10/16/91,Public area,Luby's Cafeteria,Open,random,unemployement,"On October 16, 1991, a 35-year old unemployed seaman drove his truck through a window at Luby's Cafeteria in Killeen, Texas. He then opened fire, killing twenty-three people and wounding twenty before turning the gun on himself.",committed suicide,one,23,20,43,0,35,0,-999,Yes,"White, White American or European American",Male,31.07925506,-97.73392317
7,El Paso Walmart mass shooting,"El Paso, Texas",08/03/19,Workplace,Workplace,-999,-999,-999,"Patrick Crusius, 21, who was apprehended by police, posted a so-called manifesto online shortly before the attack espousing ideas of violent white nationalism and hatred of immigrants. ""This attack is a response to the Hispanic invasion of Texas,"" he allegedly wrote in the document.",arrested,one,22,26,48,-999,21,-999,-999,-999,"White, White American or European American",Male,31.771068,-106.375655
8,McDonald's restaurant in San Ysidro,"San Ysidro, California",07/18/84,Restaurant,McDonald's restaurant in San Ysidro,Close,random,psycho,"On July 18, 1984, a 41-year-old unemployed man, walked into a McDonald's restaurant in San Ysidro, California, killing twenty-one people and injuring nineteen others. The shooter was killed at the scene by a SWAT team sniper perched on the roof next door.",killed,one,21,19,40,0,41,0,-999,Yes,"White, White American or European American",Male,32.555556,-117.047656
9,Marjory Stoneman Douglas High School shooting,"Parkland, Florida",02/14/18,School,School,-999,-999,-999,"Nikolas J. Cruz, 19, heavily armed with an AR-15, tactical gear, and â€œcountless magazinesâ€ of ammo, according to the Broward County Sheriff, attacked the high school as classes were ending for the day, killing at least 17 people and injuring many others. He was apprehended by authorities shortly after fleeing the campus.",arrested,one,17,17,34,-999,19,-999,-999,Yes,"White, White American or European American",Male,26.30483,-80.269511
10,University of Texas at Austin,"Austin, Texas",08/01/66,School,University of Texas,Close,random,terrorism,"On August 1, 1966, a 25-year-old engineering student at the University of Texas in Austin killed sixteen people and wounded thirty-two others in and around the Tower of the University of Texas. Prior to commencing the mass shootings at the University, the student and former U.S. Marine, had murdered both his wife and mother in Austin, Texas.",-999,one,16,32,48,0,25,-999,-999,Yes,"White, White American or European American",Male,30.1988873,-97.84415949
11,"Post office in Edmond, Oklahoma","Edmond, Oklahoma",08/20/86,Current Workplace,"Edmond, Oklahoma",Close,Coworkers,-999,"On August 20, 1986, a 44-year-old postal worker in Edmond, Oklahoma opened fire on his supervisors and coworkers at the post office in which he worked. He killed fourteen postal employees and wounded six others before committing suicide.",committed suicide,one,14,6,20,0,44,1,Post Office,Yes,"White, White American or European American",Male,35.66889223,-97.41438792
12,Binghamton shootings,"Binghamton, New York",04/03/09,Civic Association Centre,American Civic Association Centre,Close,random,terrorism,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide. / On April 3, 2009, a 41-year old unemployed man entered an immigration services center in Binghamton, New York, where he previously took classes. He shot and killed thirteen people in the building and injured four others before he committed suicide.",committed suicide,one,14,4,18,0,41,-999,-999,Yes,Asian or Asian American,Male,42.0986867,-75.9179738
